ComponentType,Manufacturer,Model,PartNumber,SerialNumber,TMS System Type Description,E.164 Alias,TMS System Name,MasterSerialNumber,System Type,Cart Type,Unique ID,Facility,MEDICAL CENTER,IFCAPPONumber,POC,IP Address,Visn
Main codec camera,,Camera,,B1AB40D00148,,,,107493,Telehealth Patient Cart System,Education,,402,Togus VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,DUMMY5114,,,,107494,Telehealth Patient Cart System,Education,,402,Togus VA Medical Center,,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00020,TANDBERG Codec C40,9541561,V01.TOG.MED.B205.R240A,107495,Telehealth Patient Cart System,Education,22666,518,Augusta (ME) VA Medical Center,518-V10027,,10.14.170.129,1
Main codec camera,,Camera,,B1AB36D00083,,,,107495,Telehealth Patient Cart System,Education,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00173,TANDBERG Codec C40,9500310,V01.TOG.TMD.CBOC.BAN.R1020,107496,Telehealth Patient Cart System,Education,10093,518,Augusta (ME) VA Medical Center,518-V10027,,10.14.154.38,1
Main codec camera,,Camera,,B1AB40D00061,,,,107496,Telehealth Patient Cart System,Education,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00121,TANDBERG Codec C40,9500302,V01.TOG.TMD.CBOC.CAR.R17,107498,Telehealth Patient Cart System,Education,9619,518,Augusta (ME) VA Medical Center,518-V10027,,10.14.139.197,1
Main codec camera,,Camera,,B1AB36D00164,,,,107498,Telehealth Patient Cart System,Education,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00119,TANDBERG Codec C40,9500327,V01.TOG.TMD.CBOC.RUM.R310,107500,Telehealth Patient Cart System,Education,14780,518,Augusta (ME) VA Medical Center,518-V10027,,10.14.157.69,1
Main codec camera,,Camera,,B1AB41D00338,,,,107500,Telehealth Patient Cart System,Education,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00114,TANDBERG Codec C40,9500315,V01.TOG.TMD.CBOC.LEW.R1110,107501,Telehealth Patient Cart System,Education,12880,518,Augusta (ME) VA Medical Center,518-V10027,,10.14.170.242,1
Main codec camera,,Camera,,B1AB41D00361,,,,107501,Telehealth Patient Cart System,Education,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV34D00148,,,,107502,Telehealth Patient Cart System,Clinical,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921311,,,,107502,Telehealth Patient Cart System,Clinical,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1249,,,,107502,Telehealth Patient Cart System,Clinical,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5744,,,,107502,Telehealth Patient Cart System,Clinical,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00148,TANDBERG Codec C40,9500314,V01.TOG.TMD.CBOC.RUM.R117,107503,Telehealth Patient Cart System,Clinical,9536,518,Augusta (ME) VA Medical Center,518-V10027,,10.14.157.68,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921321,,,,107503,Telehealth Patient Cart System,Clinical,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1287,,,,107503,Telehealth Patient Cart System,Clinical,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5745,,,,107503,Telehealth Patient Cart System,Clinical,,518,Augusta (ME) VA Medical Center,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00016,TANDBERG Codec C40,9501278,V04.WIM.TMD.CRT.CBOC.VINELANDRm127,107504,Telehealth Patient Cart System,Clinical,9341,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.28.227,4
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920969,,,,107504,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Main codec camera,,Camera,,B1AB40D00257,,,,107504,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1120,,,,107504,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5691,,,,107504,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00279,TANDBERG Codec C40,9501511,V04.WIM.CBOC.GEORGETOWN.PCC.CRT,107505,Telehealth Patient Cart System,Clinical,9432,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.28.165,4
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920898,,,,107505,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Main codec camera,,Camera,,B1AB41D00170,,,,107505,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1196,,,,107505,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5632,,,,107505,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00166,TANDBERG Codec C40,9501201,V04.WIM.TMD.CRT.CBOC.NORTHFIELD,107506,Telehealth Patient Cart System,Clinical,8871,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.17.195,4
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920756,,,,107506,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Main codec camera,,Camera,,B1AB40D00267,,,,107506,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,Z390,,,,107506,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5553,,,,107506,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00010,TANDBERG Codec C40,9501527,V04.WIM.CBOC.CAPEMAY.TMD.CRT,107507,Telehealth Patient Cart System,Clinical,9437,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.17.226,4
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921653,,,,107507,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Main codec camera,,Camera,,B1AB40D00270,,,,107507,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1324,,,,107507,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5659,,,,107507,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,FTT190800Q0,TANDBERG Codec C40,9501289,V04.WIM.CBOC.GEORGETOWN.RM164,107508,Telehealth Patient Cart System,Clinical,9436,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.28.171,4
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920863,,,,107508,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Main codec camera,,Camera,,B1AB40D00205,,,,107508,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1189,,,,107508,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5592,,,,107508,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00015,,,,107509,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Main codec camera,,Camera,,B1AB41D00169,,,,107509,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1204,,,,107509,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5646,,,,107509,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00005,TANDBERG Codec C40,9501513,V04.WIM.CBOC.DOVER.PCC.CRT.RM212,107510,Telehealth Patient Cart System,Clinical,9433,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,10.39.28.197,4
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921304,,,,107510,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Main codec camera,,Camera,,B1AB40D00258,,,,107510,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1211,,,,107510,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5649,,,,107510,Telehealth Patient Cart System,Clinical,,460,WILMINGTON VA MEDICAL CENTER,529-C15222,,,4
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00170,TANDBERG Codec C40,9541328,V01.PRO.TMD.HYN.R02,107511,Telehealth Patient Cart System,Clinical,8770,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,10.11.124.68,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921309,,,,107511,Telehealth Patient Cart System,Clinical,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00082,,,,107511,Telehealth Patient Cart System,Clinical,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1278,,,,107511,Telehealth Patient Cart System,Clinical,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5748,,,,107511,Telehealth Patient Cart System,Clinical,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00190,TANDBERG Codec C40,9541326,V01.PRO.TMD.NB.R02,107512,Telehealth Patient Cart System,Clinical,8518,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,10.11.124.36,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920883,,,,107512,Telehealth Patient Cart System,Clinical,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00036,,,,107512,Telehealth Patient Cart System,Clinical,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1209,,,,107512,Telehealth Patient Cart System,Clinical,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5601,,,,107512,Telehealth Patient Cart System,Clinical,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV40D00084,TANDBERG Codec C40,9541330,V01.PRO.TMD.MT.R02,107513,Telehealth Patient Cart System,Clinical,8661,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,10.11.124.52,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920895,,,,107513,Telehealth Patient Cart System,Clinical,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D0006,,,,107513,Telehealth Patient Cart System,Clinical,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1172,,,,107513,Telehealth Patient Cart System,Clinical,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5567,,,,107513,Telehealth Patient Cart System,Clinical,,650,PROVIDENCE VA MEDICAL CENTER,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV40D00085,TANDBERG Codec C40,9500203,V01.NHM.CBOC.POPC.R132,107514,Telehealth Patient Cart System,Clinical,9378,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,10.13.183.5,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920892,,,,107514,Telehealth Patient Cart System,Clinical,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
Main codec camera,,Camera,,B1AB39D00313,,,,107514,Telehealth Patient Cart System,Clinical,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1216,,,,107514,Telehealth Patient Cart System,Clinical,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5651,,,,107514,Telehealth Patient Cart System,Clinical,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00145,TANDBERG Codec C40,9500201,V01.NHM.CBOC.SOPC.R183,107515,Telehealth Patient Cart System,Clinical,8677,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,10.13.181.34,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920594,,,,107515,Telehealth Patient Cart System,Clinical,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
Main codec camera,,Camera,,B1AB39D00369,,,,107515,Telehealth Patient Cart System,Clinical,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1264,,,,107515,Telehealth Patient Cart System,Clinical,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5758,,,,107515,Telehealth Patient Cart System,Clinical,,631,NORTHAMPTON VA MEDICAL CENTER (LEEDS),518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV40D00086,TANDBERG Codec C40,9500200,V01.NHM.CRT.B7.R107,107516,Telehealth Patient Cart System,Clinical,8675,528,VA MEDICAL CENTER - BATH,528-A10717,,10.13.223.13,2
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921247,,,,107516,Telehealth Patient Cart System,Clinical,,528,VA MEDICAL CENTER - BATH,528-A10717,,,2
Main codec camera,,Camera,,B1AB40D00039,,,,107516,Telehealth Patient Cart System,Clinical,,528,VA MEDICAL CENTER - BATH,528-A10717,,,2
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1198,,,,107516,Telehealth Patient Cart System,Clinical,,528,VA MEDICAL CENTER - BATH,528-A10717,,,2
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5729,,,,107516,Telehealth Patient Cart System,Clinical,,528,VA MEDICAL CENTER - BATH,528-A10717,,,2
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV40D00052,TANDBERG Codec C40,9500215,V01.NHM.CBOC.WOR.R155,107517,Telehealth Patient Cart System,Clinical,11241,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.13.127.243,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921685,,,,107517,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00034,,,,107517,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1321,,,,107517,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM4533,,,,107517,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV40D00108,TANDBERG Codec C40,9500091,V01.BHS.TMD.BOS.B1.8B71,107518,Telehealth Patient Cart System,Clinical,9391,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.216.51,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921249,,,,107518,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00068,,,,107518,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1250,,,,107518,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5746,,,,107518,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00168,TANDBERG Codec C40,9500064,V01.BHS.TMD.CBOC.CAU.B1.126,107519,Telehealth Patient Cart System,Clinical,9129,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.222.68,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920976,,,,107519,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00100,,,,107519,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1193,,,,107519,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5650,,,,107519,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00108,TANDBERG Codec C40,9500086,V01.BHS.TMH.CBOC.PLY.B1.113,107520,Telehealth Patient Cart System,Clinical,15146,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,10.9.233.75,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920869,,,,107520,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00055,,,,107520,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1181,,,,107520,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5566,,,,107520,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00089,,,,107521,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920862,,,,107521,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00019,,,,107521,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1213,,,,107521,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5571,,,,107521,Telehealth Patient Cart System,Clinical,,523,BOSTON VA HEALTHCARE SYSTEM,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,FTT1909010A,,,,107522,Telehealth Patient Cart System,Education,,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,,1
Main codec camera,,Camera,,B1AB40D00070,,,,107522,Telehealth Patient Cart System,Education,,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00172,TANDBERG Codec C40,9500141,V01.CON.EDU.WHC.B05.R125,107523,Telehealth Patient Cart System,Education,9040,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,10.12.43.11,1
Main codec camera,,Camera,,B1AB39D00346,,,,107523,Telehealth Patient Cart System,Education,,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV31D00309,TANDBERG Codec C40,9540658,V01.CON.PRO.WHC.B02.R1-289,107524,Telehealth Patient Cart System,Education,11173,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,10.12.43.2,1
Main codec camera,,Camera,,B1AB41D00275,,,,107524,Telehealth Patient Cart System,Education,,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00120,TANDBERG Codec C40,9540664,V01.CON.EDU.WHC.B02.R7-149,107525,Telehealth Patient Cart System,Education,12709,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,10.12.43.13,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00106,TANDBERG Codec C40,9500130,V01.CON.EDU.WIL.R127,107526,Telehealth Patient Cart System,Education,8888,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,10.12.203.38,1
Main codec camera,,Camera,,B1AB41D00326,,,,107526,Telehealth Patient Cart System,Education,,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00148,TANDBERG Codec C40,9540654,V01.CON.EDU.NEW.B2C.R1-139,107527,Telehealth Patient Cart System,Education,30238,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,10.12.166.207,1
Main codec camera,,Camera,,B1AB40D00035,,,,107527,Telehealth Patient Cart System,Education,,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00180,TANDBERG Codec C40,9500138,V01.CON.EDU.STA.R002,107528,Telehealth Patient Cart System,Education,9024,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,10.12.202.230,1
Main codec camera,,Camera,,B1AB40D00025,,,,107528,Telehealth Patient Cart System,Education,,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00111,TANDBERG Codec C40,9500148,V01.CON.EDU.NEW.B2C.R1-126,107529,Telehealth Patient Cart System,Education,9029,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,10.12.166.199,1
Main codec camera,,Camera,,B1AB41D00149,,,,107529,Telehealth Patient Cart System,Education,,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV34D00151,TANDBERG Codec C40,9500140,V01.CON.EDU.DAN.R001,107530,Telehealth Patient Cart System,Education,9020,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,10.12.202.194,1
Main codec camera,,Camera,,B1AB40D00043,,,,107530,Telehealth Patient Cart System,Education,,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00126,TANDBERG Codec C40,9500131,V01.CON.EDU.NEWL.RCR,107531,Telehealth Patient Cart System,Education,8887,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,10.12.202.134,1
Main codec camera,,Camera,,B1AB41D00335,,,,107531,Telehealth Patient Cart System,Education,,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,,1
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00150,TANDBERG Codec C40,9500136,V01.CON.EDU.WINS.R003,107532,Telehealth Patient Cart System,Education,8890,518,CONNECTICUT VA HEALTHCARE SYST,518-V10027,,10.12.203.70,1
